N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
303,KODEX Top5PlusTR,"26,695",하락240,-0.89%,0,"8,996","33,700",14.84,"13,070",N/A,N/A,
304,SOL 초단기채권액티브,"53,475",보합0,0.00%,0,"8,955","16,746",0.01,"194,730",N/A,N/A,
305,LX세미콘,"55,000",상승500,+0.92%,500,"8,945","16,264",30.92,"21,139",6.59,12.69,
306,동원시스템즈,"30,600",상승100,+0.33%,"5,000","8,871","28,991",14.02,"11,239",13.25,9.01,
307,ACE 종합채권(AA-이상)KIS액티브,"109,225",상승5,0.00%,0,"8,840","8,093",0.00,"2,256",N/A,N/A,
308,ACE 테슬라밸류체인액티브,"14,835",하락115,-0.77%,0,"8,827","59,500",0.45,"1,197,804",N/A,N/A,
309,SNT모티브,"33,100",상승350,+1.07%,"5,000","8,785","26,540",18.57,"39,268",8.90,10.82,
310,프레스티지바이오파마,"14,530",하락80,-0.55%,0,"8,732","60,096",63.83,"77,741",40.03,-7.40,
311,율촌화학,"35,000",상승100,+0.29%,500,"8,680","24,800",6.19,"236,934",-40.89,-2.86,
312,TIGER 미국30년국채스트립액티브(합성 H),"38,615",하락15,-0.04%,0,"8,675","22,466",0.11,"190,606",N/A,N/A,
313,HS효성첨단소재,"190,800","상승1,800",+0.95%,"5,000","8,548","4,480",10.74,"6,958",26.68,5.46,
314,DI동일,"43,050",하락50,-0.12%,500,"8,488","19,716",6.64,"30,739",-309.71,0.28,
315,CJ CGV,"5,060",상승85,+1.71%,500,"8,378","165,581",4.59,"239,811",-4.67,-30.74,
316,세아제강지주,"200,000","상승5,800",+2.99%,"5,000","8,283","4,142",7.18,"5,134",17.87,2.25,
317,대상,"23,900",상승850,+3.69%,"1,000","8,281","34,648",18.90,"169,956",8.34,6.94,
318,SK이터닉스,"24,400",하락300,-1.21%,200,"8,236","33,754",2.72,"322,705",33.06,N/A,
319,하나투어,"52,800","하락1,000",-1.86%,500,"8,179","15,490",15.15,"446,242",11.77,47.19,
320,TIGER 미국나스닥100타겟데일리커버드콜,"9,870",하락55,-0.55%,0,"7,935","80,400",0.01,"537,434",N/A,N/A,
321,영풍,"41,450",상승950,+2.35%,500,"7,920","19,108",10.11,"15,091",19.11,-6.81,
322,파미셀,"13,180",하락250,-1.86%,500,"7,910","60,017",9.91,"514,187",49.00,7.59,
323,이노션,"19,750",상승150,+0.77%,500,"7,900","40,000",25.58,"29,006",9.12,10.48,
324,세진중공업,"13,890",하락170,-1.21%,500,"7,896","56,849",4.95,"1,088,555",36.27,6.16,
325,KODEX 200타겟위클리커버드콜,"11,270",상승15,+0.13%,0,"7,878","69,900",0.03,"1,762,753",N/A,N/A,
326,SOL 미국배당다우존스,"10,865",상승50,+0.46%,0,"7,866","72,400",0.01,"267,277",N/A,N/A,
327,KODEX 26-12 회사채(AA-이상)액티브,"10,855",보합0,0.00%,0,"7,759","71,480",0.12,"110,062",N/A,N/A,
328,KODEX 인버스,"3,485",보합0,0.00%,0,"7,719","221,500",1.62,"27,871,700",N/A,N/A,
329,PLUS 200,"43,915",하락45,-0.10%,0,"7,707","17,550",2.90,"174,493",N/A,N/A,
330,KODEX 미국S&P500(H),"14,450",하락55,-0.38%,0,"7,637","52,850",0.31,"276,117",N/A,N/A,
331,솔루엠,"15,970",상승20,+0.13%,500,"7,636","47,816",18.42,"122,463",26.09,9.48,
